lemma,abs_frequency,ipm
сумочка,134,31.9
препарат,134,31.9
пушкин,134,31.9
ю,134,31.9
пена,134,31.9
плотина,134,31.9
ножницы,134,31.9
яичный,134,31.9
отступать,134,31.9
устанавливаться,134,31.9
гусь,134,31.9
анализ,134,31.9
косточка,134,31.9
партия,134,31.9
грозить,134,31.9
забавный,134,31.9
двести,134,31.9
четкий,134,31.9
прятать,134,31.9
кактус,133,31.7
излучение,133,31.7
линза,133,31.7
чеснок,133,31.7
индивидуальность,133,31.7
копия,133,31.7
почтовый,133,31.7
словарь,133,31.7
порог,133,31.7
растирать,133,31.7
порция,133,31.7
пришивать,133,31.7
яхта,133,31.7
устойчивый,133,31.7
бурный,133,31.7
руководить,133,31.7
сбываться,133,31.7
странно,133,31.7
ручей,133,31.7
прибавлять,133,31.7
намерение,133,31.7
дорого,133,31.7
угрожать,133,31.7
резать,133,31.7
удерживаться,133,31.7
продолжение,133,31.7
забираться,133,31.7
видимый,133,31.7
романов,132,31.4
вертолет,132,31.4
жанр,132,31.4
жакет,132,31.4
гадать,132,31.4
якобы,132,31.4
взаимоотношение,132,31.4
заражаться,132,31.4
букет,132,31.4
строительный,132,31.4
еврей,132,31.4
шляпка,132,31.4
пятка,132,31.4
гнев,132,31.4
умственный,132,31.4
гладить,132,31.4
вор,132,31.4
портить,132,31.4
преимущественно,132,31.4
младенец,132,31.4
отрываться,132,31.4
блестеть,132,31.4
остановка,132,31.4
вулканический,132,31.4
степь,132,31.4
пустынный,132,31.4
апельсин,131,31.2
звездный,131,31.2
основное,131,31.2
вестись,131,31.2
скопление,131,31.2
банк,131,31.2
британский,131,31.2
справедливость,131,31.2
различаться,131,31.2
струя,131,31.2
близкие,131,31.2
городок,131,31.2
печальный,131,31.2
паразит,131,31.2
верхушка,131,31.2
охотно,131,31.2
эпидемия,131,31.2
стихия,131,31.2
пальма,131,31.2
грипп,130,31
василий,130,31
мошенник,130,31
генрих,130,31
тесный,130,31
посадка,130,31
корона,130,31
воздействовать,130,31
иванович,130,31
превосходить,130,31
награда,130,31
чешуя,130,31
отрывать,130,31
незаметный,130,31
возвращение,130,31
жажда,130,31
родиться,130,31
листочек,130,31
доказательство,130,31
пахнуть,130,31
накладывать,130,31
мозаика,129,30.7
калория,129,30.7
царица,129,30.7
рекомендовать,129,30.7
механический,129,30.7
наводнение,129,30.7
дельфин,129,30.7
опасаться,129,30.7
пост,129,30.7
рассчитать,129,30.7
лечить,129,30.7
подвергать,129,30.7
скорлупа,129,30.7
созвездие,129,30.7
опаздывать,129,30.7
отрезать,129,30.7
слуга,129,30.7
пирог,129,30.7
изготовлять,129,30.7
существенный,129,30.7
светить,129,30.7
вздыхать,129,30.7
торжество,129,30.7
шпион,128,30.5
ледниковый,128,30.5
символизировать,128,30.5
позвоночник,128,30.5
предсказывать,128,30.5
арестовывать,128,30.5
шестой,128,30.5
смола,128,30.5
лень,128,30.5
шерстяной,128,30.5
разрывать,128,30.5
продаваться,128,30.5
удивление,128,30.5
кабинет,128,30.5
углевод,128,30.5
кальций,128,30.5
голодный,128,30.5
сводить,128,30.5
замуж,128,30.5
вчера,128,30.5
прилив,127,30.2
вышивка,127,30.2
звуковой,127,30.2
испаряться,127,30.2
заведение,127,30.2
увлекать,127,30.2
скучно,127,30.2
лапка,127,30.2
родные,127,30.2
протягивать,127,30.2
тряпка,127,30.2
освобождаться,127,30.2
горизонтальный,127,30.2
лава,127,30.2
птичий,127,30.2
шедевр,126,30
версия,126,30
насыщенный,126,30
увлажнять,126,30
пик,126,30
затмение,126,30
полка,126,30
лицевой,126,30
объединяться,126,30
сотрудник,126,30
вагон,126,30
благо,126,30
излишний,126,30
потратить,126,30
обстоять,126,30
голубь,126,30
вон,126,30
ураган,126,30
попугай,126,30
пламень,126,30
поддержание,126,30
равнина,126,30
искренне,125,29.8
пляж,125,29.8
резинка,125,29.8
невеста,125,29.8
брачный,125,29.8
независимый,125,29.8
оса,125,29.8
корабельный,125,29.8
сбросить,125,29.8
мыльный,125,29.8
звание,125,29.8
терка,125,29.8
уверенно,125,29.8
статья,125,29.8
массивный,125,29.8
треть,125,29.8
величественный,125,29.8
котенок,125,29.8
благополучно,125,29.8
термит,125,29.8
покупка,125,29.8
австралийский,125,29.8
шапка,125,29.8
возражать,125,29.8
позвоночный,125,29.8
фронт,125,29.8
речной,125,29.8
чего,125,29.8
колбаса,125,29.8
неправильно,125,29.8
го,125,29.8
рыбный,125,29.8
жалеть,125,29.8
ручной,125,29.8
дракон,124,29.5
обитание,124,29.5
гласить,124,29.5
вязать,124,29.5
мышка,124,29.5
квадрат,124,29.5
фасон,124,29.5
лично,124,29.5
прозвище,124,29.5
приглашение,124,29.5
покорять,124,29.5
толстой,124,29.5
поедать,124,29.5
подрастать,124,29.5
совершаться,124,29.5
мудрость,124,29.5
навстречу,124,29.5
конфета,124,29.5
родительский,124,29.5
икра,124,29.5
нужда,124,29.5
протоплазма,124,29.5
довольный,124,29.5
расплавлять,124,29.5
сопровождаться,124,29.5
вправо,124,29.5
физика,124,29.5
включая,123,29.3
микроорганизм,123,29.3
энциклопедия,123,29.3
седьмой,123,29.3
испанец,123,29.3
установка,123,29.3
править,123,29.3
долг,123,29.3
избирать,123,29.3
выигрывать,123,29.3
скучный,123,29.3
работник,123,29.3
предприятие,123,29.3
ячейка,123,29.3
равновесие,123,29.3
формирование,122,29
мембрана,122,29
темперамент,122,29
восприятие,122,29
демонстрировать,122,29
издавна,122,29
гранит,122,29
ставиться,122,29
чертеж,122,29
чаша,122,29
заговаривать,122,29
приподымать,122,29
свод,122,29
пальто,122,29
гадюка,122,29
кнопка,122,29
прочность,122,29
мрачный,122,29
двинуться,122,29
чересчур,122,29
перечислять,122,29
завидовать,122,29
двигать,122,29
труп,122,29
обозначение,121,28.8
основный,121,28.8
честно,121,28.8
завет,121,28.8
среднее,121,28.8
магнитный,121,28.8
поверх,121,28.8
созревание,121,28.8
кое-что,121,28.8
одинокий,121,28.8
сохранение,121,28.8
продажа,121,28.8
недаром,121,28.8
темно,121,28.8
висок,121,28.8
яичко,121,28.8
годиться,121,28.8
тесно,121,28.8
вырабатываться,121,28.8
славянин,121,28.8
свинья,121,28.8
остывать,121,28.8
трогать,121,28.8
людовик,120,28.6
массаж,120,28.6
мексика,120,28.6
порезать,120,28.6
признание,120,28.6
принятие,120,28.6
отмечаться,120,28.6
парта,120,28.6
расчесывать,120,28.6
веснушка,120,28.6
полк,120,28.6
налагать,120,28.6
занятый,120,28.6
верность,120,28.6
брюшко,120,28.6
гром,120,28.6
отнимать,120,28.6
сустав,120,28.6
задумывать,120,28.6
повреждение,120,28.6
потрясать,120,28.6
прочно,120,28.6
торчать,120,28.6
гордость,120,28.6
отросток,120,28.6
защищаться,120,28.6
изо,120,28.6
перевозить,120,28.6
гроза,120,28.6
хищный,120,28.6
влюбленность,119,28.3
останки,119,28.3
альпинист,119,28.3
выкройка,119,28.3
срочно,119,28.3
строчка,119,28.3
духи,119,28.3
газовый,119,28.3
дыхательный,119,28.3
пищевой,119,28.3
болезненный,119,28.3
умеренный,119,28.3
столбик,119,28.3
парусник,119,28.3
фрегат,119,28.3
проволока,119,28.3
коллектив,119,28.3
похоронить,119,28.3
кисть,119,28.3
бесконечный,119,28.3
суеверие,119,28.3
разочарование,119,28.3
леди,119,28.3
насчитывать,119,28.3
вымирать,119,28.3
торговец,119,28.3
земляной,119,28.3
культ,119,28.3
рассказываться,119,28.3
притягивать,119,28.3
дворянин,118,28.1
леонардо,118,28.1
симптом,118,28.1
стиральный,118,28.1
ритуал,118,28.1
свитер,118,28.1
католический,118,28.1
уран,118,28.1
гамма,118,28.1
парашют,118,28.1
гражданский,118,28.1
завязывать,118,28.1
строитель,118,28.1
мотив,118,28.1
цветочный,118,28.1
дополнение,118,28.1
искренний,118,28.1
недовольный,118,28.1
хлопоты,118,28.1
складывать,118,28.1
трубочка,118,28.1
ленинград,118,28.1
кавказ,118,28.1
предположение,118,28.1
геологический,117,27.9
герцог,117,27.9
тампон,117,27.9
одноклассница,117,27.9
универсальный,117,27.9
гигант,117,27.9
масштаб,117,27.9
средневековье,117,27.9
плавник,117,27.9
неверный,117,27.9
испарение,117,27.9
близость,117,27.9
экземпляр,117,27.9
кавалер,117,27.9
подряд,117,27.9
набираться,117,27.9
бухта,117,27.9
поделать,117,27.9
пение,117,27.9
чиновник,117,27.9
знакомиться,117,27.9
выстраивать,117,27.9
пестрый,117,27.9
отвлекать,117,27.9
чудовище,117,27.9
возвышаться,117,27.9
подражать,117,27.9
катастрофа,117,27.9
клей,117,27.9
прикрепляться,117,27.9
принадлежность,117,27.9
наводить,117,27.9
самооценка,116,27.6
заговор,116,27.6
синтетический,116,27.6
хиппи,116,27.6
колготки,116,27.6
обожать,116,27.6
спектр,116,27.6
спираль,116,27.6
столовая,116,27.6
позади,116,27.6
отделка,116,27.6
коридор,116,27.6
артист,116,27.6
билет,116,27.6
сходиться,116,27.6
курение,116,27.6
награждать,116,27.6
радовать,116,27.6
устремляться,116,27.6
спокойствие,116,27.6
крупа,116,27.6
ущерб,116,27.6
заблуждение,116,27.6
сливаться,116,27.6
быт,116,27.6
несомненно,116,27.6
кумир,115,27.4
хобби,115,27.4
великобритания,115,27.4
связка,115,27.4
акула,115,27.4
потребовать,115,27.4
рыжий,115,27.4
банан,115,27.4
петька,115,27.4
таблица,115,27.4
настраивать,115,27.4
скользить,115,27.4
прослеживать,115,27.4
солнышко,115,27.4
высушивать,115,27.4
дьявол,115,27.4
свидетель,115,27.4
шишка,115,27.4
одеяло,115,27.4
глухой,115,27.4
аппетит,115,27.4
поливать,115,27.4
первоначальный,115,27.4
выливать,115,27.4
оттого,115,27.4
идеально,114,27.1
мрамор,114,27.1
электронный,114,27.1
элегантный,114,27.1
пятерка,114,27.1
провинция,114,27.1
духовка,114,27.1
шторм,114,27.1
архитектурный,114,27.1
созревать,114,27.1
налаживать,114,27.1
больница,114,27.1
упускать,114,27.1
сова,114,27.1
вытекать,114,27.1
мешочек,114,27.1
категория,114,27.1
поводить,114,27.1
сказываться,114,27.1
вынужденный,114,27.1
византийский,113,26.9
начинка,113,26.9
сковородка,113,26.9
сплав,113,26.9
дирижабль,113,26.9
немалый,113,26.9
сходный,113,26.9
бревно,113,26.9
прилегать,113,26.9
сородич,113,26.9
конечный,113,26.9
наслаждаться,113,26.9
зрелище,113,26.9
замысел,113,26.9
подписывать,113,26.9
пушистый,113,26.9
необыкновенный,113,26.9
машинка,113,26.9
влево,113,26.9
улавливать,113,26.9
кругом,113,26.9
выносить,113,26.9
рюкзак,112,26.7
династия,112,26.7
майонез,112,26.7
размещать,112,26.7
рекорд,112,26.7
притяжение,112,26.7
крепиться,112,26.7
разогревать,112,26.7
должность,112,26.7
певец,112,26.7
почта,112,26.7
сахарный,112,26.7
резиденция,112,26.7
наказывать,112,26.7
расход,112,26.7
составной,112,26.7
безусловно,112,26.7
одноклеточный,112,26.7
пропорция,112,26.7
вероятность,112,26.7
свадьба,112,26.7
потерпеть,112,26.7
вооруженный,112,26.7
ведьма,111,26.4
модельер,111,26.4
пучок,111,26.4
примесь,111,26.4
крепостной,111,26.4
утверждение,111,26.4
смертельный,111,26.4
фруктовый,111,26.4
процеживать,111,26.4
разглядеть,111,26.4
порождать,111,26.4
обман,111,26.4
гроб,111,26.4
мягко,111,26.4
воображать,111,26.4
сдерживать,111,26.4
осматривать,111,26.4
продвигаться,111,26.4
препятствовать,111,26.4
утка,111,26.4
изнутри,111,26.4
мотор,111,26.4
приставать,111,26.4
барабан,111,26.4
дикарь,111,26.4
норка,111,26.4
ходьба,111,26.4
мл,110,26.2
планировать,110,26.2
продумывать,110,26.2
мышление,110,26.2
снижать,110,26.2
покрытие,110,26.2
жареный,110,26.2
почетный,110,26.2
распадаться,110,26.2
пушка,110,26.2
авиация,110,26.2
прокладка,110,26.2
отделение,110,26.2
крестьянский,110,26.2
маша,110,26.2
натягивать,110,26.2
лампочка,110,26.2
смертный,110,26.2
мусульманин,110,26.2
кошачий,110,26.2
прозывать,110,26.2
таковой,110,26.2
толкать,110,26.2
честный,110,26.2
горький,110,26.2
взлетать,110,26.2
обжаривать,110,26.2
соперник,110,26.2
улетать,110,26.2
воспаление,110,26.2
причудливый,110,26.2
новгород,110,26.2
перебивать,110,26.2
генетический,109,26
загадывать,109,26
фермент,109,26
договор,109,26
иммунитет,109,26
абсолютный,109,26
бытовой,109,26
шоколад,109,26
негативный,109,26
слизистый,109,26
платформа,109,26
в-третьих,109,26
толчок,109,26
студент,109,26
мусор,109,26
скорпион,109,26
затылок,109,26
погружать,109,26
проглатывать,109,26
распределять,109,26
птичка,109,26
др,109,26
мечеть,108,25.7
крестовый,108,25.7
ограничение,108,25.7
пакет,108,25.7
расческа,108,25.7
всерьез,108,25.7
по-своему,108,25.7
министр,108,25.7
цениться,108,25.7
серия,108,25.7
мол,108,25.7
доспехи,108,25.7
диван,108,25.7
наряду,108,25.7
учреждение,108,25.7
радостный,108,25.7
предохранять,108,25.7
впадина,108,25.7
ближний,108,25.7
чтоб,108,25.7
прохожий,108,25.7
побежать,108,25.7
закрываться,108,25.7
молодость,108,25.7
дождаться,108,25.7
сера,108,25.7
мастерство,108,25.7
осуществляться,108,25.7
селение,108,25.7
жар,108,25.7
годунов,107,25.5
айсберг,107,25.5
запрет,107,25.5
заколка,107,25.5
экзотический,107,25.5
зарядка,107,25.5
овощной,107,25.5
кисточка,107,25.5
опубликовывать,107,25.5
восхищаться,107,25.5
физкультура,107,25.5
записываться,107,25.5
кислый,107,25.5
присоединяться,107,25.5
дочка,107,25.5
ругать,107,25.5
доход,107,25.5
ловушка,107,25.5
прямоугольный,107,25.5
проведение,107,25.5
обжигать,107,25.5
вкладывать,107,25.5
обильный,107,25.5
сочный,107,25.5
депрессия,106,25.2
создатель,106,25.2
риф,106,25.2
присущий,106,25.2
аристотель,106,25.2
разработка,106,25.2
ленин,106,25.2
мм,106,25.2
хозяйственный,106,25.2
ваза,106,25.2
браслет,106,25.2
арка,106,25.2
выучивать,106,25.2
восхищение,106,25.2
кладка,106,25.2
сушить,106,25.2
бесполезный,106,25.2
хитрый,106,25.2
послушать,106,25.2
ломать,106,25.2
опасно,106,25.2
сломать,106,25.2
кружочек,106,25.2
роса,106,25.2
растворяться,106,25.2
чуть-чуть,106,25.2
рождество,106,25.2
доисторический,106,25.2
сделаться,106,25.2
лезть,106,25.2
филипп,105,25
повлиять,105,25
галерея,105,25
формула,105,25
смягчать,105,25
проспект,105,25
колокол,105,25
код,105,25
наклонять,105,25
носовой,105,25
особа,105,25
хлорофилл,105,25
магический,105,25
скандал,105,25
ложь,105,25
казак,105,25
сражаться,105,25
подробность,105,25
режиссер,105,25
поэзия,105,25
проигрывать,105,25
кровяной,105,25
распоряжение,105,25
разбойник,105,25
яма,105,25
повесть,105,25
спасибо,105,25
столкновение,105,25
глазок,105,25
зародыш,105,25
лужа,105,25
вылетать,105,25
маяк,105,25
испугаться,105,25
восприниматься,105,25
водить,105,25
непонятный,105,25
днк,104,24.8
полноценный,104,24.8
рацион,104,24.8
сочетать,104,24.8
контрольный,104,24.8
наделять,104,24.8
полевой,104,24.8
президент,104,24.8
чин,104,24.8
весть,104,24.8
скрипка,104,24.8
нетрудно,104,24.8
тревога,104,24.8
отбирать,104,24.8
отстаивать,104,24.8
улитка,104,24.8
гибнуть,104,24.8
расцвет,104,24.8
мгновение,104,24.8
чистка,104,24.8
старина,104,24.8
нагреваться,104,24.8
связываться,104,24.8
трение,104,24.8
распускать,104,24.8
деятель,103,24.5
рубеж,103,24.5
наташа,103,24.5
салон,103,24.5
заодно,103,24.5
отвергать,103,24.5
королевство,103,24.5
метеорит,103,24.5
обучать,103,24.5
преподносить,103,24.5
плен,103,24.5
рельс,103,24.5
атака,103,24.5
добавление,103,24.5
миллиметр,103,24.5
бочка,103,24.5
поговорка,103,24.5
дед,103,24.5
драка,103,24.5
посещение,103,24.5
жаловаться,103,24.5
разрастаться,103,24.5
палатка,103,24.5
волнение,103,24.5
ползать,103,24.5
обоняние,103,24.5
ящер,103,24.5
постоять,103,24.5
огород,103,24.5
пристрастие,103,24.5
наклоняться,103,24.5
переваривать,103,24.5
твердо,103,24.5
ладно,103,24.5
речка,103,24.5
шведский,103,24.5
петербургский,102,24.3
необязательно,102,24.3
зрительно,102,24.3
фен,102,24.3
торт,102,24.3
топ,102,24.3
поцелуй,102,24.3
основатель,102,24.3
мышечный,102,24.3
размах,102,24.3
тоннель,102,24.3
пот,102,24.3
бронзовый,102,24.3
подвешивать,102,24.3
невысокий,102,24.3
ужасно,102,24.3
вливать,102,24.3
отравлять,102,24.3
беречь,102,24.3
наследник,102,24.3
давить,102,24.3
винт,102,24.3
сухопутный,102,24.3
мельница,102,24.3
очаг,102,24.3
рыть,102,24.3
павлов,101,24
секретный,101,24
антарктика,101,24
летопись,101,24
царевич,101,24
фактически,101,24
окружение,101,24
выходной,101,24
чешуйка,101,24
регулировать,101,24
пузырь,101,24
срезать,101,24
мелодия,101,24
ежедневный,101,24
варан,101,24
окружность,101,24
упоминание,101,24
стремительно,101,24
дырка,101,24
воевать,101,24
гибкий,101,24
недра,101,24
тщательный,101,24
слюна,101,24
тотчас,101,24
сдавать,101,24
смешанный,101,24
заряд,101,24
поперечный,101,24
теряться,101,24
иммунный,100,23.8
рельеф,100,23.8
губной,100,23.8
пепел,100,23.8
комбинация,100,23.8
подножие,100,23.8
прибрежный,100,23.8
волхов,100,23.8
канада,100,23.8
попросту,100,23.8
трон,100,23.8
балкон,100,23.8
ритм,100,23.8
разбрасывать,100,23.8
сбивать,100,23.8
открыто,100,23.8
позвать,100,23.8
убийство,100,23.8
извиняться,100,23.8
рубль,100,23.8
биться,100,23.8
заросль,100,23.8
поручать,100,23.8
разделяться,100,23.8
голландский,100,23.8
ступень,100,23.8
дуб,100,23.8
овальный,100,23.8
аборт,99,23.6
дворцовый,99,23.6
возбудитель,99,23.6
сюрприз,99,23.6
василиса,99,23.6
избранник,99,23.6
челка,99,23.6
лечебный,99,23.6
казнь,99,23.6
вырост,99,23.6
глобус,99,23.6
трос,99,23.6
некрасиво,99,23.6
выступление,99,23.6
излагать,99,23.6
вынести,99,23.6
убежище,99,23.6
начальный,99,23.6
удаление,99,23.6
тыс,99,23.6
полотно,99,23.6
расправлять,99,23.6
паника,99,23.6
творить,99,23.6
фонтан,99,23.6
карточка,99,23.6
глыба,99,23.6
запускать,99,23.6
куколка,99,23.6
питать,99,23.6
хвалить,99,23.6
присылать,99,23.6
никуда,99,23.6
изредка,99,23.6
задерживаться,99,23.6
царить,99,23.6
новорожденный,99,23.6
колебаться,99,23.6
червяк,99,23.6
мина,99,23.6
избавлять,99,23.6
тьма,99,23.6
подразумевать,99,23.6
пластина,99,23.6
жениться,99,23.6
любопытство,99,23.6
шифр,98,23.3
доллар,98,23.3
аляска,98,23.3
бабушкин,98,23.3
посолить,98,23.3
таблетка,98,23.3
жилой,98,23.3
склонность,98,23.3
кофточка,98,23.3
вязание,98,23.3
эластичный,98,23.3
поэма,98,23.3
фаза,98,23.3
треугольный,98,23.3
атмосферный,98,23.3
максимальный,98,23.3
меню,98,23.3
химия,98,23.3
половый,98,23.3
наследство,98,23.3
мел,98,23.3
юность,98,23.3
присматриваться,98,23.3
турбина,98,23.3
готовность,98,23.3
удобрение,98,23.3
равномерно,98,23.3
радио,98,23.3
судья,98,23.3
ничуть,98,23.3
нью-йорк,98,23.3
смешно,98,23.3
напряженный,98,23.3
всадник,98,23.3
таять,98,23.3
редкость,98,23.3
ведро,98,23.3
жевать,98,23.3
нежелательный,98,23.3
вечно,98,23.3
черт,98,23.3
воробей,98,23.3
разбиваться,98,23.3
прорастать,98,23.3
выражаться,98,23.3
усовершенствовать,98,23.3
подобие,98,23.3
загораться,98,23.3
насмешка,98,23.3
гепатит,97,23.1
сперматозоид,97,23.1
арктический,97,23.1
завершаться,97,23.1
маршрут,97,23.1
каникулы,97,23.1
втирать,97,23.1
подверженный,97,23.1
воспитанный,97,23.1
хвощ,97,23.1
объявление,97,23.1
пищеварительный,97,23.1
устье,97,23.1
нелегкий,97,23.1
бусы,97,23.1
рок,97,23.1
прикосновение,97,23.1
низ,97,23.1
продолжительность,97,23.1
корма,97,23.1
хрупкий,97,23.1
неведомый,97,23.1
толща,97,23.1
бродить,97,23.1
оканчивать,97,23.1
приучать,97,23.1
руководствоваться,97,23.1
закуска,97,23.1
охотничий,97,23.1
набережная,97,23.1
непрерывный,97,23.1
вспыхивать,97,23.1
вмешиваться,97,23.1
наверно,97,23.1
презерватив,96,22.9
легендарный,96,22.9
отметка,96,22.9
завершение,96,22.9
краситель,96,22.9
травма,96,22.9
тропики,96,22.9
аккуратный,96,22.9
грудной,96,22.9
подсчитывать,96,22.9
шумный,96,22.9
поздравлять,96,22.9
вена,96,22.9
энергичный,96,22.9
обтягивать,96,22.9
темп,96,22.9
отнюдь,96,22.9
супруга,96,22.9
завоевание,96,22.9
вертеться,96,22.9
фенек,96,22.9
охрана,96,22.9
капризный,96,22.9
неизменный,96,22.9
бедствие,96,22.9
роговой,96,22.9
гвоздь,96,22.9
верующий,95,22.6
афины,95,22.6
эпизод,95,22.6
миска,95,22.6
гитара,95,22.6
серьга,95,22.6
душ,95,22.6
меркурий,95,22.6
введение,95,22.6
инокентьич,95,22.6
возрождение,95,22.6
бледный,95,22.6
ископаемый,95,22.6
молиться,95,22.6
одиночка,95,22.6
повышаться,95,22.6
противостоять,95,22.6
турецкий,95,22.6
образованный,95,22.6
почистить,95,22.6
где-нибудь,95,22.6
поиграть,95,22.6
ранить,95,22.6
фунт,95,22.6
ущелие,95,22.6
персона,95,22.6
обнаруживаться,95,22.6
пословица,95,22.6
жалко,95,22.6
коробочка,95,22.6
лопатка,95,22.6
удобство,95,22.6
застенчивость,94,22.4
елена,94,22.4
скула,94,22.4
майка,94,22.4
поло,94,22.4
урал,94,22.4
чрезмерный,94,22.4
подержать,94,22.4
торф,94,22.4
казнить,94,22.4
строй,94,22.4
растапливать,94,22.4
кожица,94,22.4
актриса,94,22.4
убор,94,22.4
ссориться,94,22.4
варение,94,22.4
следствие,94,22.4
ндаро,94,22.4
закат,94,22.4
распоряжаться,94,22.4
представать,94,22.4
плаун,94,22.4
полчаса,94,22.4
убеждение,94,22.4
стекать,94,22.4
орел,94,22.4
мореплаватель,94,22.4
потирать,94,22.4
простота,94,22.4
слоевище,93,22.1
устрица,93,22.1
инк,93,22.1
подружиться,93,22.1
химик,93,22.1
пигмент,93,22.1
строка,93,22.1
база,93,22.1
полгода,93,22.1
весы,93,22.1
остыть,93,22.1
жировой,93,22.1
всемирный,93,22.1
коса,93,22.1
упоминаться,93,22.1
склад,93,22.1
ненавидеть,93,22.1
срываться,93,22.1
необычайно,93,22.1
сидение,93,22.1
бешенство,93,22.1
гордиться,93,22.1
кончать,93,22.1
светиться,93,22.1
выдумывать,93,22.1
набивать,93,22.1
съедобный,93,22.1
куриный,93,22.1
сиять,93,22.1
сгорание,93,22.1
наподобие,93,22.1
кулак,93,22.1
наблюдатель,93,22.1
пингвин,92,21.9
неплохой,92,21.9
пирожок,92,21.9
привлекательность,92,21.9
хлопчатобумажный,92,21.9
шапочка,92,21.9
проверка,92,21.9
отвлекаться,92,21.9
могущественный,92,21.9
размышление,92,21.9
поразительный,92,21.9
осенний,92,21.9
прикасаться,92,21.9
оправдывать,92,21.9
наклон,92,21.9
коварный,92,21.9
трое,92,21.9
решительный,92,21.9
отчаяние,92,21.9
доступ,92,21.9
крещение,92,21.9
тоненький,92,21.9
волга,92,21.9
эскимос,92,21.9
дурак,92,21.9
вакцина,91,21.7
кровообращение,91,21.7
разведывательный,91,21.7
инициатива,91,21.7
аллергия,91,21.7
экспериментировать,91,21.7
шарф,91,21.7
реально,91,21.7
косой,91,21.7
ложный,91,21.7
киевский,91,21.7
раскрываться,91,21.7
возглавлять,91,21.7
подъезд,91,21.7
тяга,91,21.7
голландия,91,21.7
ролик,91,21.7
рама,91,21.7
приручать,91,21.7
декорация,91,21.7
проваливаться,91,21.7
плащ,91,21.7
спрятаться,91,21.7
вал,91,21.7
подчинять,91,21.7
морда,91,21.7
содержимое,91,21.7
проводник,91,21.7
паутина,91,21.7
исключительный,91,21.7
выезжать,91,21.7
углубление,91,21.7
ослаблять,91,21.7
поблизости,91,21.7
издание,91,21.7
таня,90,21.4
михайлович,90,21.4
сфинкс,90,21.4
примечательный,90,21.4
стресс,90,21.4
исполнитель,90,21.4
очко,90,21.4
медаль,90,21.4
ополаскивать,90,21.4
турция,90,21.4
максимум,90,21.4
реклама,90,21.4
разрыв,90,21.4
сокращаться,90,21.4
плоскость,90,21.4
сетка,90,21.4
кипение,90,21.4
впитывать,90,21.4
кашица,90,21.4
переезжать,90,21.4
недовольство,90,21.4
материнский,90,21.4
осуждать,90,21.4
шахта,90,21.4
усиливаться,90,21.4
внушать,90,21.4
шестьдесят,90,21.4
наставать,90,21.4
надежно,90,21.4
свекла,90,21.4
грань,90,21.4
республика,90,21.4
удовлетворять,90,21.4
полететь,90,21.4
стрелять,90,21.4
божество,90,21.4
вытягиваться,90,21.4
творение,89,21.2
гипотеза,89,21.2
жаба,89,21.2
инструкция,89,21.2
туз,89,21.2
реактивный,89,21.2
тряпочка,89,21.2
накрасить,89,21.2
посоветоваться,89,21.2
бисер,89,21.2
парадный,89,21.2
жемчуг,89,21.2
шхуна,89,21.2
средиземный,89,21.2
посетитель,89,21.2
полководец,89,21.2
лекарственный,89,21.2
цвести,89,21.2
немножко,89,21.2
таз,89,21.2
освобождение,89,21.2
польша,89,21.2
клещ,89,21.2
разрез,89,21.2
перспектива,89,21.2
худой,89,21.2
охлаждать,89,21.2
коза,89,21.2
выразительный,89,21.2
забивать,89,21.2
руль,89,21.2
джузеппе,89,21.2
близ,89,21.2
дыра,89,21.2
налет,89,21.2
вдыхать,89,21.2
спускать,89,21.2
нектар,89,21.2
дрова,89,21.2
мучить,89,21.2
грустный,89,21.2
купаться,89,21.2
вдали,89,21.2
экономический,89,21.2
разделение,89,21.2
всюду,89,21.2
печение,89,21.2
прерывать,89,21.2
блин,88,21
патриарх,88,21
общительный,88,21
зевс,88,21
добавляться,88,21
санкт-петербург,88,21
панк,88,21
внук,88,21
кабина,88,21
веселие,88,21
аэростат,88,21
снижаться,88,21
восстание,88,21
дважды,88,21
посол,88,21
пожалеть,88,21
ресторан,88,21
скапливаться,88,21
махать,88,21
взор,88,21
зоолог,88,21
пес,88,21
проход,88,21
поселок,88,21
гордый,88,21
собачий,88,21
давным-давно,88,21
велеть,88,21
трудиться,88,21
ожог,88,21
кузнечик,88,21
прилетать,88,21
полдень,88,21
нигде,88,21
вылезать,88,21
анекдот,88,21
себе,88,21
византия,87,20.7
иосиф,87,20.7
игорь,87,20.7
алтарь,87,20.7
цезарь,87,20.7
томас,87,20.7
мотя,87,20.7
рей,87,20.7
выдох,87,20.7
молодежный,87,20.7
кулинарный,87,20.7
геометрический,87,20.7
цирк,87,20.7
нелегко,87,20.7
подушечка,87,20.7
вежливость,87,20.7
льдина,87,20.7
путать,87,20.7
смешивать,87,20.7
мраморный,87,20.7
котлета,87,20.7
тигр,87,20.7
фальшивый,87,20.7
открытка,87,20.7
зрительный,87,20.7
мысленно,87,20.7
пиво,87,20.7
посередине,87,20.7
камешек,87,20.7
чернила,87,20.7
жилье,87,20.7
ой,87,20.7
горка,87,20.7
носиться,87,20.7
сверкать,87,20.7
усик,87,20.7
подлинный,87,20.7
великан,87,20.7
спуск,87,20.7
недолго,87,20.7
мгновенно,87,20.7
выпуклый,87,20.7
стержень,87,20.7
добывание,87,20.7
выгодный,87,20.7
байкер,86,20.5
экстремальный,86,20.5
оптимальный,86,20.5
послание,86,20.5
